SK_ID_CURR,Probability,Prediction,Actual
100002,0.7401742446999594,1,1.0
100003,0.2463696208594401,0,0.0
100004,0.25953012491202554,0,0.0
100006,0.43932875030555857,0,0.0
100007,0.3974441439046974,0,0.0
100008,0.4023105369562342,0,0.0
100009,0.23044355569494157,0,0.0
100010,0.24719879841935985,0,0.0
100011,0.23215315386580737,0,0.0
100012,0.2498012496547635,0,0.0
100014,0.41135470327292456,0,0.0
100015,0.1307816126889915,0,0.0
100016,0.4952630578847588,0,0.0
100017,0.33850628222900525,0,0.0
100018,0.20421617096386485,0,0.0
100019,0.40689385479407963,0,0.0
100020,0.7305913715250144,1,0.0
100021,0.4599879688477495,0,0.0
100022,0.1712220920040718,0,0.0
100023,0.3341741392078123,0,0.0
100024,0.6342831402789638,1,0.0
100025,0.544643904129201,0,0.0
100026,0.5513873383198871,0,0.0
100027,0.1972422511517504,0,0.0
100029,0.297470274453812,0,0.0
100030,0.24979358085047437,0,0.0
100031,0.6013421230721702,1,1.0
100032,0.16884993292840766,0,0.0
100033,0.06886784721826113,0,0.0
100034,0.391156509652818,0,0.0
100035,0.3789209025791518,0,0.0
100036,0.23746064057386299,0,0.0
100037,0.12331033970506466,0,0.0
100039,0.5691511208838705,0,0.0
100040,0.39235097824590676,0,0.0
100041,0.24234171581238473,0,0.0
100043,0.15416442525831892,0,0.0
100044,0.16616380541811676,0,0.0
100045,0.23565386486812628,0,0.0
100046,0.22791062138478305,0,0.0
100047,0.6594377162216981,1,1.0
100048,0.6319490588503152,1,0.0
100049,0.3940032287896114,0,1.0
100050,0.1068308651059696,0,0.0
100051,0.3774681609635985,0,0.0
100052,0.3908409922565026,0,0.0
100053,0.47737905483260995,0,0.0
100054,0.3769942815604172,0,0.0
100055,0.1659262442758426,0,0.0
100056,0.32669713535659317,0,0.0
100058,0.08685141897860311,0,0.0
100059,0.16238125348313112,0,0.0
100060,0.10191873580371354,0,0.0
100061,0.2360918492016158,0,0.0
100062,0.20530497985805787,0,0.0
100063,0.5423680869239794,0,0.0
100064,0.5417922974611336,0,0.0
100068,0.4956375037309209,0,0.0
100069,0.5586543176029597,0,0.0
100070,0.2396127260451257,0,0.0
100071,0.1012855758705697,0,0.0
100072,0.5997051295288518,1,0.0
100073,0.43960084353064777,0,0.0
100075,0.12631677082954637,0,0.0
100076,0.6342026305241328,1,0.0
100077,0.19867533308048374,0,0.0
100078,0.20281342329939783,0,0.0
100079,0.6008181167279223,1,0.0
100080,0.3489535802902742,0,0.0
100081,0.43089705559090546,0,0.0
100082,0.40762570225214856,0,0.0
100083,0.30328912078942033,0,0.0
100084,0.33769074083017436,0,0.0
100085,0.5652921596130707,0,0.0
100086,0.4909190389120739,0,0.0
100087,0.5673043286407387,0,0.0
100088,0.1733680713790398,0,0.0
100089,0.4242101818430795,0,0.0
100093,0.2524375356904061,0,0.0
100094,0.1497886586628737,0,0.0
100095,0.2937134812864968,0,0.0
100096,0.4692618482826043,0,1.0
100097,0.49480149708033305,0,0.0
100098,0.5675064854052713,0,0.0
100099,0.37058912207277867,0,0.0
100100,0.1017649984960544,0,0.0
100101,0.09351068699634925,0,0.0
100102,0.3266101886827244,0,0.0
100103,0.23980597172319715,0,0.0
100104,0.3233476929015727,0,0.0
100105,0.4307290849276689,0,0.0
100108,0.21423613602681688,0,0.0
100110,0.5560958153803849,0,0.0
100111,0.4772984388141713,0,0.0
100112,0.6747961864642653,1,1.0
100113,0.22759381340309848,0,0.0
100114,0.6500210591150223,1,0.0
100115,0.39294993427381697,0,0.0
100116,0.4650596802240525,0,0.0
100118,0.31457639478798816,0,0.0
100119,0.689612837828485,1,0.0
100120,0.7063444609439218,1,0.0
100121,0.4394432032819268,0,0.0
100122,0.6697013899589777,1,0.0
100123,0.24937605464710294,0,0.0
100124,0.14165042532160182,0,0.0
100125,0.2877055247835482,0,0.0
100126,0.1648626017406805,0,0.0
100127,0.24843491957737562,0,0.0
100129,0.14073318780650326,0,0.0
100130,0.6724553955098777,1,1.0
100131,0.2546073246309441,0,0.0
100132,0.09427169513797959,0,0.0
100133,0.5027156136531711,0,0.0
100134,0.2158874282088234,0,0.0
100135,0.4872740483728769,0,0.0
100136,0.14159784991843244,0,0.0
100137,0.5984255430222157,1,0.0
100138,0.1388820461326285,0,0.0
100139,0.6398786519367674,1,0.0
100140,0.28204767134431685,0,0.0
100142,0.6826556431271623,1,0.0
100143,0.11325503931738751,0,0.0
100144,0.38725359610380444,0,0.0
100145,0.12837983983504883,0,0.0
100146,0.3858284977974846,0,0.0
100147,0.18089389109880613,0,0.0
100148,0.5169017034751733,0,0.0
100149,0.7423764781118727,1,0.0
100151,0.25041665572952293,0,0.0
100152,0.3490262488782924,0,0.0
100153,0.4248173234216845,0,0.0
100154,0.45192843769361857,0,0.0
100155,0.6280305904294343,1,0.0
100156,0.2549456514677713,0,0.0
100157,0.2766853436490464,0,0.0
100158,0.13541659600431966,0,0.0
100159,0.20875552216443655,0,0.0
100160,0.5775606839789551,0,1.0
100161,0.643162452042031,1,0.0
100162,0.48972746532339706,0,0.0
100163,0.6374558402407909,1,0.0
100164,0.4212048248463957,0,0.0
100165,0.15308292212651792,0,0.0
100166,0.6333311203808295,1,0.0
100167,0.6261321415426406,1,0.0
100173,0.23782404884760056,0,0.0
100174,0.15113500574485916,0,0.0
100175,0.20864028749148564,0,0.0
100176,0.20967303186305072,0,0.0
100177,0.4684332092528885,0,0.0
100178,0.18939668115871816,0,0.0
100179,0.0871148989667952,0,0.0
100180,0.08180219001115614,0,0.0
100181,0.6070374264436115,1,1.0
100182,0.1294947512854699,0,0.0
